"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"61 CHOA CHU KANG STREET 51 KRANJI SECONDARY SCHOOL SINGAPORE 689333",1.39005109871311,103.741190664845,"KRANJI SECONDARY SCHOOL","school"
"8B BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579802",1.34978307376407,103.854529246517,"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","school"
"10 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL SINGAPORE 579795",1.3500756234832,103.855365171957,"KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL","school"
"161 CORPORATION WALK LAKESIDE PRIMARY SCHOOL SINGAPORE 618310",1.33820397704287,103.718089546664,"LAKESIDE PRIMARY SCHOOL","school"
"2 BUKIT BATOK STREET 52 LIANHUA PRIMARY SCHOOL SINGAPORE 659243",1.35424191127295,103.754165828711,"LIANHUA PRIMARY SCHOOL","school"
"12 PASIR RIS STREET 11 LOYANG VIEW SECONDARY SCHOOL SINGAPORE 519073",1.36658417167238,103.956944585725,"LOYANG VIEW SECONDARY SCHOOL","school"
"10 UBI AVENUE 1 MAHA BODHI SCHOOL SINGAPORE 408931",1.32847086658384,103.901298737314,"MAHA BODHI SCHOOL","school"
"20 UBI AVENUE 1 MANJUSRI SECONDARY SCHOOL SINGAPORE 408940",1.32747123084846,103.901719963831,"MANJUSRI SECONDARY SCHOOL","school"
"25 MOUNT VERNON ROAD MARIS STELLA HIGH SCHOOL SINGAPORE 368051",1.34139473351039,103.877852484979,"MARIS STELLA HIGH SCHOOL","school"
"31 WOODLANDS CENTRE ROAD MARSILING PRIMARY SCHOOL SINGAPORE 738927",1.43383904037059,103.773643013846,"MARSILING PRIMARY SCHOOL","school"
